timestamp,src_ip,dest_ip,src_port,dest_port,proto,event_type,app_proto,flow_id,pkt_src,has_flow,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,duration,total_pkts,total_bytes,has_alert,alert_category,alert_severity,alert_signature,alert_signature_id,label_evidence_alert,label_evidence_compromised_ip,label_status,label_reason,Target_prelim
2025-11-27T13:23:51.647558+0000,163.171.220.60,10.0.9.71,0,0,ICMP,flow,,268688122569608.0,,1,10,5,750,375,0.0,15,1125,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:51.672902+0000,10.0.9.71,3.134.148.59,8899,48104,TCP,anomaly,,950281716168490.0,stream (flow timeout),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:51.672902+0000,3.134.148.59,10.0.9.71,48104,8899,TCP,ssh,,950281716168490.0,stream (flow timeout),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:51.673384+0000,162.216.149.90,10.0.9.71,52142,9730,TCP,flow,,518608066378752.0,,1,2,1,120,58,0.0,3,178,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:52.045763+0000,185.218.84.18,10.0.9.71,43922,64295,TCP,ssh,,1375011302862153.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:52.684379+0000,115.231.78.3,10.0.9.71,46893,21,TCP,flow,,684912301969826.0,,1,2,1,120,58,0.0,3,178,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:52.699948+0000,91.231.222.166,10.0.9.71,10296,64295,TCP,flow,,1865413509255142.0,,1,2,3,134,222,4.0,5,356,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:53.677039+0000,124.158.172.63,10.0.9.71,37156,1080,TCP,flow,,916846273894764.0,,1,9,11,628,754,2.0,20,1382,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:54.678804+0000,134.199.198.136,10.0.9.71,52976,5900,TCP,alert,rfb,2021284472304713.0,stream (flow timeout),1,5,5,350,350,0.0,10,700,1,Misc activity,3,GPL INFO VNC server response,2100560,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:23:54.679070+0000,134.199.198.136,10.0.9.71,52976,5900,TCP,flow,rfb,2021284472304713.0,,1,5,5,350,350,1.0,10,700,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:58.658925+0000,134.199.198.136,10.0.9.71,33854,5900,TCP,alert,rfb,1786445722199085.0,wire/pcap,1,4,2,284,152,0.0,6,436,1,Misc activity,3,GPL INFO VNC server response,2100560,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:23:58.911647+0000,134.199.198.136,10.0.9.71,33854,5900,TCP,rfb,,1786445722199085.0,wire/pcap,0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:00.606927+0000,66.132.153.148,10.0.9.71,6874,17184,UDP,flow,failed,1550418989671420.0,,1,1,1,106,134,0.0,2,240,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:00.998655+0000,91.231.222.174,10.0.9.71,28470,64295,TCP,ssh,,123960430614534.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:24:02.588910+0000,172.232.244.62,10.0.9.71,0,0,ICMP,alert,,840502465213263.0,wire/pcap,1,1,0,75,0,0.0,1,75,1,Misc activity,3,GPL ICMP PING,2100384,1,0,malicious_evidence,valid_alert,1
